Instance,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
kroC100.tsp,148518,144857,23904,22363,21808,21804,21804,21804,21804,21804,21804,21804,21804,21804,21804,21804,21804,21804,21804,21804,21804
kroC100.tsp,153435,145105,24702,22377,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200
kroC100.tsp,149114,144956,25231,23175,23086,23086,23077,23055,23040,23040,23040,23040,23040,23040,23040,23040,23040,23040,23040,23040,23040
kroC100.tsp,151486,135507,25901,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769,22769
kroC100.tsp,147170,144610,25644,23664,23595,23512,23512,23512,23512,23512,23512,23512,23512,23512,23512,23512,23512,23512,23512,23512,23512
,,,,,,,,,,,,,,,,,,,,,
kroD100.tsp,140826,133724,25533,23453,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300
kroD100.tsp,144459,134816,27468,24729,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592,24592
kroD100.tsp,143731,136955,25604,23060,22779,22596,22596,22596,22596,22596,22596,22596,22596,22596,22596,22596,22596,22596,22596,22596,22596
kroD100.tsp,140702,139752,25889,23531,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248,23248
kroD100.tsp,137639,137052,26694,24624,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064,24064
kroD100.tsp,150718,140161,25838,23161,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731
kroD100.tsp,141521,137899,26013,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666,23666
kroD100.tsp,143027,128394,25660,23332,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184,23184
kroD100.tsp,143926,142892,26287,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362,23362
kroD100.tsp,147563,140316,26777,23673,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504,23504
kroD100.tsp,144069,141051,27078,24460,24262,23805,23805,23805,23805,23805,23805,23805,23805,23805,23805,23805,23805,23805,23805,23805,23805
kroD100.tsp,143312,139834,27572,24648,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590,24590
kroD100.tsp,144496,140248,26424,23398,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106,23106
kroD100.tsp,140200,138954,24931,22598,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567,22567
kroD100.tsp,143335,142012,25258,23349,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230,23230
kroD100.tsp,141511,140335,25077,22426,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336,22336
kroD100.tsp,145182,143430,25590,23261,23135,23123,23123,23123,23123,23123,23123,23123,23123,23123,23123,23123,23123,23123,23123,23123,23123
kroD100.tsp,142254,142254,25395,23209,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955,22955
kroD100.tsp,137100,136374,25254,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461,23461
kroD100.tsp,144356,139488,26678,23705,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261,23261
kroD100.tsp,143519,140187,25201,23372,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255,23255
kroD100.tsp,143124,141136,25115,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091,23091
kroD100.tsp,142753,136347,26399,23537,23314,23021,22978,22978,22978,22978,22978,22978,22978,22978,22978,22978,22978,22978,22978,22978,22978
kroD100.tsp,144325,135390,26626,23856,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035,23035
kroD100.tsp,143911,138041,26098,23231,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085,23085
kroD100.tsp,142883,142030,26157,23382,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046
kroD100.tsp,141257,137351,25158,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115,23115
kroD100.tsp,144527,138439,24697,22469,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100
kroD100.tsp,142257,141532,24629,23580,23545,23527,23527,23527,23527,23527,23527,23527,23527,23527,23527,23527,23527,23527,23527,23527,23527
kroD100.tsp,142184,137161,24952,23485,23381,22924,22924,22924,22924,22924,22924,22924,22924,22924,22924,22924,22924,22924,22924,22924,22924
,,,,,,,,,,,,,,,,,,,,,
lin105.tsp,108623,106773,19527,15392,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275
lin105.tsp,104190,101888,18546,16054,15976,15758,15758,15758,15758,15758,15758,15758,15758,15758,15758,15758,15758,15758,15758,15758,15758
lin105.tsp,108304,106211,16741,15301,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250
lin105.tsp,109003,103986,19241,15808,15015,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782,14782
lin105.tsp,109235,106307,18081,15961,15671,14851,14851,14851,14851,14851,14851,14851,14851,14851,14851,14851,14851,14851,14851,14851,14851
lin105.tsp,106027,103360,17776,15368,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877,14877
lin105.tsp,107533,105720,18392,16924,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133,16133
lin105.tsp,109000,104724,17005,15803,15803,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15771,15730,15730,15730
lin105.tsp,108772,103017,17947,16146,16030,15904,15764,15764,15764,15764,15764,15764,15764,15764,15764,15764,15764,15764,15764,15764,15764
lin105.tsp,102230,101699,18179,15998,15685,15685,15685,15685,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574
lin105.tsp,105461,103739,17799,15483,15388,15369,15369,15369,15369,15369,15369,15369,15369,15369,15369,15369,15369,15369,15369,15369,15369
lin105.tsp,107796,104335,18757,16042,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649,15649
